ticker,company_name,sector,talk_intensity_score,walk_weakness_score,integrity_weakness_score,cross_source_contradiction_score,final_inconsistency_index,index_percentile,review_priority_tier,explanation
MMC,"Marsh & Mclennan Companies, Inc.",Financial Services,0.3774,0.6324,0.716,0.3055,0.5108,0.5253,Standard review,Flagged for weak integrity signal; requires further ESG due diligence.
CBRE,"Cbre Group, Inc.",Real Estate,0.7121,0.0741,0.716,0.6399,0.5106,0.5214,Standard review,"Flagged for high ESG disclosure intensity, weak integrity signal, cross-source inconsistency; requires further ESG due diligence."
CDNS,Cadence Design Systems,Technology,0.965,0.0878,0.0331,0.9058,0.5066,0.5175,Standard review,"Flagged for high ESG disclosure intensity, cross-source inconsistency; requires further ESG due diligence."
PNR,Pentair Plc,Industrials,0.6537,0.4769,0.5389,0.1554,0.5029,0.5136,Standard review,Flagged for moderate combined Talk-Walk signal; requires further ESG due diligence.
BDX,"Becton, Dickinson and Co.",Healthcare,0.2023,0.7062,0.716,0.5088,0.5022,0.5097,Standard review,"Flagged for weak external ESG evidence, weak integrity signal, cross-source inconsistency; requires further ESG due diligence."
AEE,Ameren Corporation,Utilities,0.3696,0.6091,0.716,0.3071,0.5014,0.5058,Standard review,Flagged for weak integrity signal; requires further ESG due diligence.
REGN,Regeneron Pharmaceuticals Inc,Healthcare,0.3619,0.4634,0.8463,0.4425,0.5013,0.5019,Standard review,Flagged for weak integrity signal; requires further ESG due diligence.
GLW,Corning Incorporated,Technology,0.8444,0.2771,0.0973,0.6754,0.4994,0.4981,Standard review,"Flagged for high ESG disclosure intensity, cross-source inconsistency; requires further ESG due diligence."
FIS,"Fidelity National Information Services, Inc.",Technology,0.6304,0.4162,0.6109,0.2051,0.4984,0.4942,Standard review,Flagged for moderate combined Talk-Walk signal; requires further ESG due diligence.
EBAY,Ebay Inc,Consumer Cyclical,0.7899,0.3791,0.0681,0.6271,0.4979,0.4903,Standard review,"Flagged for high ESG disclosure intensity, cross-source inconsistency; requires further ESG due diligence."
APTV,Aptiv Plc,Consumer Cyclical,0.8988,0.0865,0.2179,0.7553,0.4974,0.4864,Standard review,"Flagged for high ESG disclosure intensity, cross-source inconsistency; requires further ESG due diligence."
XYL,Xylem Inc,Industrials,0.8054,0.331,0.0973,0.625,0.4944,0.4825,Standard review,"Flagged for high ESG disclosure intensity, cross-source inconsistency; requires further ESG due diligence."
CSGP,Costar Group Inc,Real Estate,0.607,0.6064,0.1556,0.451,0.4931,0.4786,Standard review,Flagged for moderate combined Talk-Walk signal; requires further ESG due diligence.
CMI,Cummins Inc.,Industrials,0.5798,0.3039,0.716,0.3636,0.4918,0.4747,Standard review,Flagged for weak integrity signal; requires further ESG due diligence.
DGX,Quest Diagnostics Inc.,Healthcare,0.537,0.6326,0.4533,0.1554,0.4917,0.4708,Standard review,Flagged for moderate combined Talk-Walk signal; requires further ESG due diligence.
FDX,Fedex Corporation,Industrials,0.6342,0.3495,0.6109,0.2738,0.4901,0.4669,Standard review,Flagged for moderate combined Talk-Walk signal; requires further ESG due diligence.
BIIB,Biogen Inc.,Healthcare,0.3152,0.6837,0.6109,0.3381,0.4883,0.463,Standard review,Flagged for weak external ESG evidence; requires further ESG due diligence.
ISRG,Intuitive Surgical Inc.,Healthcare,0.6926,0.4463,0.2179,0.4112,0.4816,0.4591,Standard review,Flagged for high ESG disclosure intensity; requires further ESG due diligence.
KHC,The Kraft Heinz Company,Consumer Defensive,0.0467,0.8416,0.5389,0.6949,0.4808,0.4553,Standard review,"Flagged for weak external ESG evidence, cross-source inconsistency; requires further ESG due diligence."
NUE,Nucor Corporation,Basic Materials,0.1051,0.7687,0.6109,0.6005,0.4796,0.4514,Standard review,"Flagged for weak external ESG evidence, cross-source inconsistency; requires further ESG due diligence."
AKAM,Akamai Technologies Inc,Technology,0.7043,0.3894,0.2957,0.3707,0.4781,0.4475,Standard review,Flagged for high ESG disclosure intensity; requires further ESG due diligence.
EQR,Equity Residential,Real Estate,0.7743,0.1739,0.3696,0.5304,0.4767,0.4436,Standard review,"Flagged for high ESG disclosure intensity, cross-source inconsistency; requires further ESG due diligence."
LDOS,"Leidos Holdings, Inc.",Technology,0.4319,0.4725,0.716,0.2661,0.476,0.4397,Standard review,Flagged for weak integrity signal; requires further ESG due diligence.
SBUX,Starbucks Corp,Consumer Cyclical,0.0778,0.7632,0.6109,0.6233,0.4719,0.4358,Standard review,"Flagged for weak external ESG evidence, cross-source inconsistency; requires further ESG due diligence."
CHD,"Church & Dwight Co., Inc.",Consumer Defensive,0.6265,0.2093,0.6109,0.4096,0.4657,0.4319,Standard review,Flagged for moderate combined Talk-Walk signal; requires further ESG due diligence.
DXCM,"Dexcom, Inc.",Healthcare,0.2374,0.5807,0.716,0.4273,0.4646,0.428,Standard review,Flagged for weak integrity signal; requires further ESG due diligence.
MSFT,Microsoft Corp,Technology,0.7315,0.3518,0.0973,0.5528,0.4639,0.4241,Standard review,"Flagged for high ESG disclosure intensity, cross-source inconsistency; requires further ESG due diligence."
QCOM,Qualcomm Inc,Technology,0.4047,0.2339,0.8463,0.5474,0.4632,0.4202,Standard review,"Flagged for weak integrity signal, cross-source inconsistency; requires further ESG due diligence."
TSN,"Tyson Foods, Inc.",Consumer Defensive,0.0739,0.7425,0.6109,0.6135,0.4628,0.4163,Standard review,"Flagged for weak external ESG evidence, cross-source inconsistency; requires further ESG due diligence."
ACGL,Arch Capital Group Ltd,Financial Services,0.4786,0.6481,0.2179,0.3753,0.4618,0.4125,Standard review,Flagged for moderate combined Talk-Walk signal; requires further ESG due diligence.
CTSH,Cognizant Technology Solutions,Technology,0.7198,0.3468,0.1556,0.497,0.4617,0.4086,Standard review,Flagged for high ESG disclosure intensity; requires further ESG due diligence.
FTNT,"Fortinet, Inc.",Technology,0.5097,0.5873,0.3696,0.1911,0.4572,0.4047,Standard review,Flagged for moderate combined Talk-Walk signal; requires further ESG due diligence.
AMT,American Tower Corporation,Real Estate,0.6732,0.1016,0.5389,0.5176,0.4515,0.4008,Standard review,"Flagged for high ESG disclosure intensity, cross-source inconsistency; requires further ESG due diligence."
ORCL,Oracle Corp,Technology,0.2957,0.3263,0.8463,0.5359,0.4511,0.3969,Standard review,"Flagged for weak integrity signal, cross-source inconsistency; requires further ESG due diligence."
MDLZ,"Mondelez International, Inc. Class A",Consumer Defensive,0.1595,0.3594,0.9222,0.6849,0.4508,0.393,Standard review,"Flagged for weak integrity signal, cross-source inconsistency; requires further ESG due diligence."
CINF,Cincinnati Financial Corp,Financial Services,0.0311,0.8177,0.4533,0.6818,0.4491,0.3891,Standard review,"Flagged for weak external ESG evidence, cross-source inconsistency; requires further ESG due diligence."
NCLH,Norwegian Cruise Line Holdings Ltd.s,Consumer Cyclical,0.3346,0.6597,0.4533,0.2849,0.4484,0.3852,Standard review,Flagged for moderate combined Talk-Walk signal; requires further ESG due diligence.
LVS,Las Vegas Sands Corp.,Consumer Cyclical,0.1362,0.4638,0.8463,0.6156,0.4484,0.3813,Standard review,"Flagged for weak integrity signal, cross-source inconsistency; requires further ESG due diligence."
DPZ,Domino's Pizza Inc.,Consumer Cyclical,0.2918,0.7326,0.2957,0.4388,0.4469,0.3774,Standard review,Flagged for weak external ESG evidence; requires further ESG due diligence.
MGM,Mgm Resorts International,Consumer Cyclical,0.249,0.8082,0.0973,0.6485,0.4463,0.3735,Standard review,"Flagged for weak external ESG evidence, cross-source inconsistency; requires further ESG due diligence."
CPB,Campbell Soup Company,Consumer Defensive,0.3035,0.4724,0.716,0.3591,0.445,0.3696,Standard review,Flagged for weak integrity signal; requires further ESG due diligence.
RMD,Resmed Inc.,Healthcare,0.144,0.7827,0.3696,0.561,0.4433,0.3658,Standard review,"Flagged for weak external ESG evidence, cross-source inconsistency; requires further ESG due diligence."
NDAQ,"Nasdaq, Inc.",Financial Services,0.7588,0.2414,0.0175,0.6585,0.4403,0.3619,Standard review,"Flagged for high ESG disclosure intensity, cross-source inconsistency; requires further ESG due diligence."
MRK,"Merck & Co., Inc.",Healthcare,0.2996,0.5627,0.6109,0.2902,0.4394,0.358,Standard review,Flagged for moderate combined Talk-Walk signal; requires further ESG due diligence.
JCI,Johnson Controls International Plc,Industrials,0.8249,0.0825,0.0486,0.7599,0.4372,0.3502,Standard review,"Flagged for high ESG disclosure intensity, cross-source inconsistency; requires further ESG due diligence."
WMT,Walmart Inc.,Consumer Defensive,0.1323,0.5635,0.716,0.5243,0.4372,0.3541,Standard review,"Flagged for weak integrity signal, cross-source inconsistency; requires further ESG due diligence."
UNH,Unitedhealth Group Incorporated,Healthcare,0.1907,0.3681,0.8463,0.5874,0.4345,0.3463,Standard review,"Flagged for weak integrity signal, cross-source inconsistency; requires further ESG due diligence."
BK,Bank of New York Mellon Corporation,Financial Services,0.4864,0.5637,0.2957,0.2389,0.4343,0.3424,Standard review,Flagged for moderate combined Talk-Walk signal; requires further ESG due diligence.
A,Agilent Technologies Inc.,Healthcare,0.642,0.1944,0.4533,0.3892,0.4321,0.3385,Standard review,Flagged for moderate combined Talk-Walk signal; requires further ESG due diligence.
SCHW,The Charles Schwab Corporation,Financial Services,0.3658,0.6661,0.2179,0.3956,0.4308,0.3346,Standard review,Flagged for moderate combined Talk-Walk signal; requires further ESG due diligence.
CBOE,"Cboe Global Markets, Inc.",Financial Services,0.4397,0.5176,0.5389,0.0905,0.4305,0.3307,Standard review,Flagged for moderate combined Talk-Walk signal; requires further ESG due diligence.
WBA,"Walgreens Boots Alliance, Inc",Healthcare,0.2062,0.3352,0.8463,0.5863,0.43,0.3268,Standard review,"Flagged for weak integrity signal, cross-source inconsistency; requires further ESG due diligence."
PYPL,"Paypal Holdings, Inc.",Financial Services,0.6693,0.3465,0.0486,0.5376,0.4286,0.323,Standard review,Flagged for cross-source inconsistency; requires further ESG due diligence.
INTU,Intuit Inc,Technology,0.5331,0.5086,0.2179,0.3037,0.4283,0.3191,Standard review,Flagged for moderate combined Talk-Walk signal; requires further ESG due diligence.
DHI,D.R. Horton Inc.,Consumer Cyclical,0.2568,0.4421,0.716,0.4001,0.4257,0.3152,Standard review,Flagged for weak integrity signal; requires further ESG due diligence.
WEC,"Wec Energy Group, Inc.",Utilities,0.2802,0.667,0.3696,0.3508,0.4247,0.3113,Standard review,Flagged for moderate combined Talk-Walk signal; requires further ESG due diligence.
MAA,"Mid-America Apartment Communities, Inc.",Real Estate,0.0856,0.283,0.9553,0.7897,0.4244,0.3074,Standard review,"Flagged for weak integrity signal, cross-source inconsistency; requires further ESG due diligence."
WRB,W.R. Berkley Corporation,Financial Services,0.4241,0.6048,0.2179,0.3353,0.4237,0.3035,Standard review,Flagged for moderate combined Talk-Walk signal; requires further ESG due diligence.
PHM,"Pultegroup, Inc.",Consumer Cyclical,0.1634,0.4969,0.716,0.4819,0.4217,0.2996,Standard review,Flagged for weak integrity signal; requires further ESG due diligence.
VRTX,Vertex Pharmaceuticals Inc,Healthcare,0.2607,0.702,0.2179,0.4642,0.4151,0.2957,Standard review,Flagged for weak external ESG evidence; requires further ESG due diligence.
TRV,"The Travelers Companies, Inc.",Financial Services,0.0661,0.535,0.716,0.5809,0.414,0.2918,Standard review,"Flagged for weak integrity signal, cross-source inconsistency; requires further ESG due diligence."
FRT,Federal Realty Investment Trust,Real Estate,0.7082,0.1961,0.0973,0.568,0.4113,0.2879,Standard review,"Flagged for high ESG disclosure intensity, cross-source inconsistency; requires further ESG due diligence."
JNPR,Juniper Networks Inc,Technology,0.6148,0.3175,0.2179,0.3576,0.4077,0.284,Standard review,Flagged for moderate combined Talk-Walk signal; requires further ESG due diligence.
TJX,"Tjx Companies, Inc.",Consumer Cyclical,0.1829,0.2656,0.8463,0.6262,0.4069,0.2802,Standard review,"Flagged for weak integrity signal, cross-source inconsistency; requires further ESG due diligence."
DLR,"Digital Realty Trust, Inc.",Real Estate,0.6459,0.2833,0.0973,0.4833,0.403,0.2763,Standard review,Flagged for moderate combined Talk-Walk signal; requires further ESG due diligence.
MHK,"Mohawk Industries, Inc.",Consumer Cyclical,0.2529,0.1434,0.8463,0.655,0.3991,0.2724,Standard review,"Flagged for weak integrity signal, cross-source inconsistency; requires further ESG due diligence."
KMB,Kimberly-Clark Corp.,Consumer Defensive,0.4008,0.5373,0.3696,0.1545,0.3986,0.2685,Standard review,Flagged for moderate combined Talk-Walk signal; requires further ESG due diligence.
TXN,Texas Instruments Incorporated,Technology,0.4708,0.4873,0.2179,0.2616,0.3938,0.2646,Standard review,Flagged for moderate combined Talk-Walk signal; requires further ESG due diligence.
IQV,Iqvia Holdings Inc.,Healthcare,0.4163,0.4808,0.4533,0.056,0.389,0.2607,Standard review,Flagged for moderate combined Talk-Walk signal; requires further ESG due diligence.
LRCX,Lam Research Corp,Technology,0.572,0.1191,0.4533,0.4067,0.3876,0.2568,Standard review,Flagged for moderate combined Talk-Walk signal; requires further ESG due diligence.
IVZ,Invesco Ltd,Financial Services,0.0389,0.7027,0.3696,0.5749,0.3846,0.2529,Standard review,"Flagged for weak external ESG evidence, cross-source inconsistency; requires further ESG due diligence."
AMGN,Amgen Inc,Healthcare,0.1128,0.6628,0.3696,0.4766,0.3837,0.249,Standard review,Flagged for moderate combined Talk-Walk signal; requires further ESG due diligence.
ADBE,Adobe Inc.,Technology,0.5837,0.1628,0.3696,0.3645,0.3817,0.2451,Standard review,Flagged for moderate combined Talk-Walk signal; requires further ESG due diligence.
EXPD,"Expeditors International of Washington, Inc.",Industrials,0.463,0.2086,0.5389,0.2996,0.3774,0.2412,Standard review,Flagged for moderate combined Talk-Walk signal; requires further ESG due diligence.
SPGI,S&p Global Inc.,Financial Services,0.5486,0.2298,0.3696,0.2768,0.3764,0.2374,Standard review,Flagged for moderate combined Talk-Walk signal; requires further ESG due diligence.
INTC,Intel Corp,Technology,0.4942,0.4231,0.1245,0.3397,0.3757,0.2335,Standard review,Flagged for moderate combined Talk-Walk signal; requires further ESG due diligence.
SYF,Synchrony Financial,Financial Services,0.4669,0.423,0.2957,0.154,0.3726,0.2296,Standard review,Flagged for moderate combined Talk-Walk signal; requires further ESG due diligence.
AJG,Arthur J. Gallagher & Co.,Financial Services,0.2101,0.6337,0.2179,0.4198,0.3702,0.2257,Standard review,Flagged for moderate combined Talk-Walk signal; requires further ESG due diligence.
KMX,Carmax Inc.,Consumer Cyclical,0.5525,0.251,0.2957,0.2818,0.3701,0.2218,Standard review,Flagged for moderate combined Talk-Walk signal; requires further ESG due diligence.
FITB,Fifth Third Bancorp,Financial Services,0.5409,0.3386,0.1245,0.3606,0.3699,0.2179,Standard review,Flagged for moderate combined Talk-Walk signal; requires further ESG due diligence.
NTRS,Northern Trust Corp,Financial Services,0.0039,0.719,0.2957,0.6228,0.3696,0.214,Standard review,"Flagged for weak external ESG evidence, cross-source inconsistency; requires further ESG due diligence."
NEM,Newmont Corporation,Basic Materials,0.3385,0.2751,0.6109,0.309,0.3695,0.2101,Standard review,Flagged for moderate combined Talk-Walk signal; requires further ESG due diligence.
HSY,The Hershey Company,Consumer Defensive,0.3113,0.5773,0.1556,0.3693,0.3687,0.2062,Standard review,Flagged for moderate combined Talk-Walk signal; requires further ESG due diligence.
WDC,Western Digital Corp.,Technology,0.5681,0.1262,0.3696,0.3834,0.3681,0.2023,Standard review,Flagged for moderate combined Talk-Walk signal; requires further ESG due diligence.
HRL,Hormel Foods Corporation,Consumer Defensive,0.0895,0.697,0.2179,0.5546,0.3672,0.1984,Standard review,"Flagged for weak external ESG evidence, cross-source inconsistency; requires further ESG due diligence."
HIG,"The Hartford Financial Services Group, Inc.",Financial Services,0.5564,0.2819,0.1556,0.3549,0.3637,0.1946,Standard review,Flagged for moderate combined Talk-Walk signal; requires further ESG due diligence.
CMCSA,Comcast Corp,Communication Services,0.0078,0.569,0.5389,0.5468,0.3632,0.1907,Standard review,Flagged for cross-source inconsistency; requires further ESG due diligence.
PGR,Progressive Corporation,Financial Services,0.1479,0.4908,0.5389,0.3694,0.3622,0.1868,Standard review,Flagged for moderate combined Talk-Walk signal; requires further ESG due diligence.
CFG,"Citizens Financial Group, Inc.",Financial Services,0.1012,0.6892,0.1556,0.5627,0.3577,0.1829,Standard review,"Flagged for weak external ESG evidence, cross-source inconsistency; requires further ESG due diligence."
STZ,"Constellation Brands, Inc.",Consumer Defensive,0.3735,0.4764,0.2957,0.157,0.3564,0.179,Standard review,Flagged for moderate combined Talk-Walk signal; requires further ESG due diligence.
CPT,Camden Property Trust,Real Estate,0.3424,0.4998,0.2179,0.2447,0.3501,0.1751,Standard review,Flagged for moderate combined Talk-Walk signal; requires further ESG due diligence.
GRMN,Garmin Ltd,Technology,0.1167,0.6684,0.1245,0.5478,0.3484,0.1712,Standard review,Flagged for cross-source inconsistency; requires further ESG due diligence.
FAST,Fastenal Co,Industrials,0.3307,0.4667,0.3696,0.1212,0.3479,0.1673,Standard review,Flagged for moderate combined Talk-Walk signal; requires further ESG due diligence.
NXPI,Nxp Semiconductors N.v.,Technology,0.3463,0.4857,0.2179,0.232,0.3453,0.1634,Standard review,Flagged for moderate combined Talk-Walk signal; requires further ESG due diligence.
PAYX,Paychex Inc,Industrials,0.5603,0.2359,0.0486,0.4484,0.3439,0.1595,Standard review,Flagged for moderate combined Talk-Walk signal; requires further ESG due diligence.
NVDA,Nvidia Corp,Technology,0.4436,0.1789,0.4533,0.2697,0.34,0.1556,Standard review,Flagged for moderate combined Talk-Walk signal; requires further ESG due diligence.
HSIC,Henry Schein Inc,Healthcare,0.358,0.1804,0.5389,0.3105,0.3338,0.1518,Standard review,Flagged for moderate combined Talk-Walk signal; requires further ESG due diligence.
VRSK,"Verisk Analytics, Inc.",Industrials,0.323,0.4883,0.1245,0.3155,0.3317,0.1479,Standard review,Flagged for moderate combined Talk-Walk signal; requires further ESG due diligence.
TGT,Target Corporation,Consumer Defensive,0.4903,0.2005,0.2957,0.2558,0.3293,0.144,Standard review,Flagged for moderate combined Talk-Walk signal; requires further ESG due diligence.
TROW,T Rowe Price Group Inc,Financial Services,0.4358,0.3085,0.2957,0.1342,0.3243,0.1401,Standard review,Flagged for moderate combined Talk-Walk signal; requires further ESG due diligence.
CTAS,Cintas Corp,Industrials,0.2879,0.3679,0.4533,0.1432,0.3233,0.1362,Standard review,Flagged for moderate combined Talk-Walk signal; requires further ESG due diligence.
JKHY,Henry (Jack) & Associates,Technology,0.214,0.4647,0.3696,0.2192,0.3211,0.1323,Standard review,Flagged for moderate combined Talk-Walk signal; requires further ESG due diligence.
HLT,Hilton Worldwide Holdings Inc.,Consumer Cyclical,0.1284,0.2842,0.6109,0.4265,0.3164,0.1284,Standard review,Flagged for moderate combined Talk-Walk signal; requires further ESG due diligence.
BXP,"Boston Properties, Inc.",Real Estate,0.5019,0.1995,0.1245,0.3461,0.3123,0.1245,Standard review,Flagged for moderate combined Talk-Walk signal; requires further ESG due diligence.
AMP,"Ameriprise Financial, Inc.",Financial Services,0.179,0.4925,0.2957,0.2744,0.3107,0.1206,Standard review,Flagged for moderate combined Talk-Walk signal; requires further ESG due diligence.
AOS,A.O. Smith Corporation,Industrials,0.0545,0.6271,0.0681,0.566,0.3057,0.1167,Standard review,Flagged for cross-source inconsistency; requires further ESG due diligence.
PTC,"Ptc, Inc",Technology,0.2412,0.4771,0.1556,0.2883,0.3019,0.1128,Standard review,Flagged for moderate combined Talk-Walk signal; requires further ESG due diligence.
GPN,"Global Payments, Inc.",Industrials,0.035,0.5062,0.3696,0.4199,0.301,0.1089,Standard review,Flagged for moderate combined Talk-Walk signal; requires further ESG due diligence.
ZTS,Zoetis Inc.,Healthcare,0.0506,0.3522,0.5389,0.4268,0.2952,0.1051,Standard review,Flagged for moderate combined Talk-Walk signal; requires further ESG due diligence.
CAH,"Cardinal Health, Inc.",Healthcare,0.3852,0.2681,0.2957,0.106,0.2903,0.1012,Standard review,Flagged for moderate combined Talk-Walk signal; requires further ESG due diligence.
IBM,International Business Machines Corporation,Technology,0.4125,0.2685,0.0973,0.2733,0.2854,0.0973,Standard review,Flagged for moderate combined Talk-Walk signal; requires further ESG due diligence.
ADSK,Autodesk Inc,Technology,0.2646,0.383,0.1556,0.1969,0.2682,0.0934,Standard review,Flagged for moderate combined Talk-Walk signal; requires further ESG due diligence.
ECL,"Ecolab, Inc.",Basic Materials,0.3969,0.2487,0.0175,0.3312,0.2667,0.0895,Standard review,Flagged for moderate combined Talk-Walk signal; requires further ESG due diligence.
DHR,Danaher Corporation,Healthcare,0.07,0.1059,0.6109,0.5239,0.257,0.0856,Standard review,Flagged for cross-source inconsistency; requires further ESG due diligence.
AFL,Aflac Inc.,Financial Services,0.1518,0.4661,0.0175,0.3988,0.2563,0.0817,Standard review,Flagged for moderate combined Talk-Walk signal; requires further ESG due diligence.
COO,"The Cooper Companies, Inc.",Healthcare,0.1673,0.3179,0.3696,0.1821,0.2552,0.0778,Standard review,Flagged for moderate combined Talk-Walk signal; requires further ESG due diligence.
AVY,Avery Dennison Corp.,Consumer Cyclical,0.0272,0.4679,0.2179,0.3828,0.2509,0.0739,Standard review,Flagged for moderate combined Talk-Walk signal; requires further ESG due diligence.
GWW,"W.W. Grainger, Inc.",Industrials,0.1984,0.1332,0.4533,0.293,0.244,0.07,Standard review,Flagged for moderate combined Talk-Walk signal; requires further ESG due diligence.
UDR,"Udr, Inc.",Real Estate,0.2724,0.3386,0.0078,0.3032,0.2439,0.0661,Standard review,Flagged for moderate combined Talk-Walk signal; requires further ESG due diligence.
ADP,Automatic Data Processing,Industrials,0.0934,0.0993,0.5389,0.4426,0.2366,0.0623,Standard review,Flagged for moderate combined Talk-Walk signal; requires further ESG due diligence.
AVB,"Avalonbay Communities, Inc.",Real Estate,0.393,0.0775,0.1556,0.2846,0.2346,0.0584,Standard review,Flagged for moderate combined Talk-Walk signal; requires further ESG due diligence.
PFG,"Principal Financial Group, Inc.",Financial Services,0.3191,0.2494,0.0331,0.2583,0.2319,0.0545,Standard review,Flagged for moderate combined Talk-Walk signal; requires further ESG due diligence.
CME,Cme Group Inc.,Financial Services,0.1868,0.3649,0.0973,0.236,0.2297,0.0506,Standard review,Flagged for moderate combined Talk-Walk signal; requires further ESG due diligence.
LKQ,Lkq Corporation,Consumer Cyclical,0.1089,0.0368,0.5389,0.4702,0.2275,0.0467,Standard review,Flagged for moderate combined Talk-Walk signal; requires further ESG due diligence.
ANSS,Ansys Inc,Technology,0.2451,0.3093,0.0681,0.2164,0.2247,0.0428,Standard review,Flagged for moderate combined Talk-Walk signal; requires further ESG due diligence.
BBY,"Best Buy Company, Inc.",Consumer Cyclical,0.0233,0.3445,0.2957,0.2998,0.2156,0.0389,Standard review,Flagged for moderate combined Talk-Walk signal; requires further ESG due diligence.
GPC,Genuine Parts Company,Consumer Cyclical,0.1946,0.114,0.3696,0.2264,0.2102,0.035,Standard review,Flagged for moderate combined Talk-Walk signal; requires further ESG due diligence.
HST,"Host Hotels & Resorts, Inc.",Real Estate,0.1556,0.2753,0.2179,0.1037,0.1962,0.0311,Standard review,Flagged for moderate combined Talk-Walk signal; requires further ESG due diligence.
SYY,Sysco Corporation,Consumer Defensive,0.0817,0.1313,0.3696,0.2666,0.1819,0.0272,Standard review,Flagged for moderate combined Talk-Walk signal; requires further ESG due diligence.
CSCO,"Cisco Systems, Inc.",Technology,0.1401,0.3032,0.0039,0.2595,0.1797,0.0233,Standard review,Flagged for moderate combined Talk-Walk signal; requires further ESG due diligence.
ROK,"Rockwell Automation, Inc.",Industrials,0.1206,0.2089,0.2179,0.0931,0.1624,0.0195,Standard review,Flagged for moderate combined Talk-Walk signal; requires further ESG due diligence.
SBAC,Sba Communications Corp,Real Estate,0.1751,0.1199,0.2179,0.0851,0.1536,0.0156,Standard review,Flagged for moderate combined Talk-Walk signal; requires further ESG due diligence.
TRMB,Trimble Inc.,Technology,0.2335,0.0825,0.0486,0.1704,0.1418,0.0117,Standard review,Flagged for moderate combined Talk-Walk signal; requires further ESG due diligence.
MSCI,"Msci, Inc.",Financial Services,0.0156,0.2757,0.0175,0.2592,0.1305,0.0078,Standard review,Flagged for moderate combined Talk-Walk signal; requires further ESG due diligence.
ACN,Accenture Plc,Technology,0.0195,0.0894,0.1556,0.118,0.0825,0.0039,Standard review,Flagged for moderate combined Talk-Walk signal; requires further ESG due diligence.
